Numero de documentos del corpus: 15398
Numero de palabras del corpus: 329847
Palabra: <UNK> Frec: 0 LogProb: -12.845321
Palabra: aa Frec: 1 LogProb: -12.152173
Palabra: aaa Frec: 4 LogProb: -11.235883
Palabra: aaaaakubosan Frec: 0 LogProb: -12.845321
Palabra: aaaand Frec: 1 LogProb: -12.152173
Palabra: aaaas Frec: 0 LogProb: -12.845321
Palabra: aaan Frec: 0 LogProb: -12.845321
Palabra: aaanews Frec: 0 LogProb: -12.845321
Palabra: aaannnddd Frec: 1 LogProb: -12.152173
Palabra: aaanortheast Frec: 0 LogProb: -12.845321
Palabra: aabutan Frec: 0 LogProb: -12.845321
Palabra: aacopd Frec: 0 LogProb: -12.845321
Palabra: aacounty Frec: 1 LogProb: -12.152173
Palabra: aadeshrawal Frec: 1 LogProb: -12.152173
Palabra: aahealth Frec: 0 LogProb: -12.845321
Palabra: aahh Frec: 0 LogProb: -12.845321
Palabra: aai Frec: 1 LogProb: -12.152173
Palabra: aajeevika Frec: 0 LogProb: -12.845321
Palabra: aajtak Frec: 0 LogProb: -12.845321
Palabra: aakash Frec: 0 LogProb: -12.845321
Palabra: aakelmpkve Frec: 0 LogProb: -12.845321
Palabra: aalonzowatt Frec: 1 LogProb: -12.152173
Palabra: aalto Frec: 0 LogProb: -12.845321
Palabra: aaltouniversity Frec: 0 LogProb: -12.845321
Palabra: aamaadmi Frec: 0 LogProb: -12.845321
Palabra: aamaadmiparty Frec: 1 LogProb: -12.152173
Palabra: aamen Frec: 0 LogProb: -12.845321
Palabra: aan Frec: 0 LogProb: -12.845321
Palabra: aao Frec: 0 LogProb: -12.845321
Palabra: aap Frec: 1 LogProb: -12.152173
Palabra: aapbvwmlhw Frec: 1 LogProb: -12.152173
Palabra: aapdelhi Frec: 1 LogProb: -12.152173
Palabra: aapi Frec: 1 LogProb: -12.152173
Palabra: aapka Frec: 0 LogProb: -12.845321
Palabra: aapke Frec: 0 LogProb: -12.845321
Palabra: aapl Frec: 2 LogProb: -11.746708
Palabra: aappres Frec: 1 LogProb: -12.152173
Palabra: aapss Frec: 0 LogProb: -12.845321
Palabra: aaravndal Frec: 1 LogProb: -12.152173
Palabra: aardwolfkenya Frec: 0 LogProb: -12.845321
Palabra: aaron Frec: 1 LogProb: -12.152173
Palabra: aaronbostermd Frec: 0 LogProb: -12.845321
Palabra: aaronchown Frec: 1 LogProb: -12.152173
Palabra: aarondicks Frec: 0 LogProb: -12.845321
Palabra: aarp Frec: 1 LogProb: -12.152173
Palabra: aarpfraudwatch Frec: 0 LogProb: -12.845321
Palabra: aashith Frec: 0 LogProb: -12.845321
Palabra: aata Frec: 0 LogProb: -12.845321
Palabra: ab Frec: 7 LogProb: -10.765879
Palabra: aba Frec: 1 LogProb: -12.152173
Palabra: ababankers Frec: 4 LogProb: -11.235883
Palabra: abaesq Frec: 0 LogProb: -12.845321
Palabra: abajila Frec: 0 LogProb: -12.845321
Palabra: abandon Frec: 4 LogProb: -11.235883
Palabra: abandoned Frec: 8 LogProb: -10.648096
Palabra: abandoning Frec: 2 LogProb: -11.746708
Palabra: abandonment Frec: 1 LogProb: -12.152173
Palabra: abandons Frec: 0 LogProb: -12.845321
