Numero de documentos del corpus: 18046
Numero de palabras del corpus: 393648
Palabra: <UNK> Frec: 0 LogProb: -13.000900
Palabra: aa Frec: 1 LogProb: -12.307754
Palabra: aaa Frec: 1 LogProb: -12.307754
Palabra: aaaaakubosan Frec: 1 LogProb: -12.307754
Palabra: aaaand Frec: 0 LogProb: -13.000900
Palabra: aaaas Frec: 0 LogProb: -13.000900
Palabra: aaan Frec: 0 LogProb: -13.000900
Palabra: aaanews Frec: 0 LogProb: -13.000900
Palabra: aaannnddd Frec: 0 LogProb: -13.000900
Palabra: aaanortheast Frec: 1 LogProb: -12.307754
Palabra: aabutan Frec: 1 LogProb: -12.307754
Palabra: aacopd Frec: 1 LogProb: -12.307754
Palabra: aacounty Frec: 0 LogProb: -13.000900
Palabra: aadeshrawal Frec: 0 LogProb: -13.000900
Palabra: aahealth Frec: 1 LogProb: -12.307754
Palabra: aahh Frec: 1 LogProb: -12.307754
Palabra: aai Frec: 0 LogProb: -13.000900
Palabra: aajeevika Frec: 1 LogProb: -12.307754
Palabra: aajtak Frec: 4 LogProb: -11.391462
Palabra: aakash Frec: 2 LogProb: -11.902288
Palabra: aakelmpkve Frec: 1 LogProb: -12.307754
Palabra: aalonzowatt Frec: 0 LogProb: -13.000900
Palabra: aalto Frec: 2 LogProb: -11.902288
Palabra: aaltouniversity Frec: 1 LogProb: -12.307754
Palabra: aamaadmi Frec: 1 LogProb: -12.307754
Palabra: aamaadmiparty Frec: 0 LogProb: -13.000900
Palabra: aamen Frec: 1 LogProb: -12.307754
Palabra: aan Frec: 0 LogProb: -13.000900
Palabra: aao Frec: 1 LogProb: -12.307754
Palabra: aap Frec: 1 LogProb: -12.307754
Palabra: aapbvwmlhw Frec: 0 LogProb: -13.000900
Palabra: aapdelhi Frec: 0 LogProb: -13.000900
Palabra: aapi Frec: 0 LogProb: -13.000900
Palabra: aapka Frec: 1 LogProb: -12.307754
Palabra: aapke Frec: 1 LogProb: -12.307754
Palabra: aapl Frec: 1 LogProb: -12.307754
Palabra: aappres Frec: 0 LogProb: -13.000900
Palabra: aapss Frec: 1 LogProb: -12.307754
Palabra: aaravndal Frec: 0 LogProb: -13.000900
Palabra: aardwolfkenya Frec: 1 LogProb: -12.307754
Palabra: aaron Frec: 5 LogProb: -11.209141
Palabra: aaronbostermd Frec: 0 LogProb: -13.000900
Palabra: aaronchown Frec: 0 LogProb: -13.000900
Palabra: aarondicks Frec: 1 LogProb: -12.307754
Palabra: aarp Frec: 1 LogProb: -12.307754
Palabra: aarpfraudwatch Frec: 1 LogProb: -12.307754
Palabra: aashith Frec: 1 LogProb: -12.307754
Palabra: aata Frec: 1 LogProb: -12.307754
